ACEN Colleges of Nursing,Program Type,State/Country,Status
Bevill State Community College,"1411 Indiana Avenue Jasper, Alabama 35501 United States",Associate,Alabama,Accredited
Bevill State Community College,"1411 Indiana Avenue Jasper, Alabama 35501 United States",Practical,Alabama,Accredited
Bishop State Community College,"1365 Dr. Martin Luther King, Jr. Avenue Central Campus Mobile, Alabama 36603-5898 United States",Associate,Alabama,Accredited
Bishop State Community College,"1365 Dr. Martin Luther King, Jr. Avenue Central Campus Mobile, Alabama 36603-5898 United States",Practical,Alabama,Accredited
Calhoun Community College,"6250 Highway 31 North Decatur, Alabama 35609-2216 ",Associate,Alabama,Accredited
Calhoun Community College,"6250 Highway 31 North Decatur, Alabama 35609-2216 ",Practical,Alabama,Accredited
Central Alabama Community College,"34091 US Hwy 280 Childersburg, Alabama 35044 ",Associate,Alabama,Accredited
Central Alabama Community College,"34091 US Highway 280 Childersburg, Alabama 35044-2128 ",Practical,Alabama,Accredited
Chattahoochee Valley Community College,"2602 College Drive Phenix City, Alabama 36869 ",Associate,Alabama,Accredited
Chattahoochee Valley Community College,"2602 College Drive Phenix City, Alabama 36869 ",Practical,Alabama,Accredited
Coastal Alabama Community College,"1900 Highway 31 South Bay Minette, Alabama 36507 ",Associate,Alabama,Accredited
Coastal Alabama Community College,"1900 Highway 31 South Bay Minette, Alabama 36507 ",Practical,Alabama,Accredited
Gadsden State Community College,"1001 Wallace Drive Gadsden, Alabama 35903 ",Associate,Alabama,Accredited
Gadsden State Community College,"1001 Wallace Drive Gadsden, Alabama 35903 United States",Practical,Alabama,Accredited
George C. Wallace Community College,"1141 Wallace Drive Dothan, Alabama 36303-9234 ",Practical,Alabama,Accredited
George C. Wallace Community College,"1141 Wallace Drive Dothan, Alabama 36303-9234 ",Associate,Alabama,Accredited
George Corley Wallace Community College-Selma,"3000 Earl Goodwin Parkway, PO Box 2530 Selma, Alabama 36702-2530 United States",Associate,Alabama,Accredited
George Corley Wallace Community College-Selma,"3000 Earl Goodwin Parkway, PO Box 2530 Selma, Alabama 36702-2530 ",Practical,Alabama,Accredited
H. Councill Trenholm State Community College,"P.O. Box 10048, 1225 Air Base Blvd. Montgomery, Alabama 36108-3199 ",Practical,Alabama,Accredited
Herzing University – Birmingham,"280 West Valley Avenue Birmingham, Alabama 35209 ",Associate,Alabama,Accredited
Herzing University – Birmingham,"280 West Valley Avenue Birmingham, Alabama 35209 ",Practical,Alabama,Accredited
J.F. Drake State Community and Technical College,"3421 Meridian Street North Huntsville, Alabama 35811 ",Practical,Alabama,Accredited
J.F. Drake State Community and Technical College,"3421 Meridian Street North Huntsville, Alabama 35811 ",Associate,Alabama,Accredited
Jefferson State Community College,"2601 Carson Road Birmingham, Alabama 35215 ",Associate,Alabama,Accredited
Lawson State Community College,"3060 Wilson Road, SW Birmingham, Alabama 35221 ",Associate,Alabama,Accredited
Lawson State Community College,"3060 Wilson Road, SW Birmingham, Alabama 35221 ",Practical,Alabama,Accredited
Lurleen B. Wallace Community College,"1708 North Main Street Opp, Alabama 36467 United States",Associate,Alabama,Accredited
Lurleen B. Wallace Community College,"1708 North Main Street, PO Box 910 Opp, Alabama 36467 United States",Practical,Alabama,Accredited
Northeast Alabama Community College,"PO Box 159 Rainsville, Alabama 35986-0159 ",Associate,Alabama,Accredited
Northeast Alabama Community College,"PO Box 159 Rainsville, Alabama 35986-0159 United States",Practical,Alabama,Accredited
Northwest-Shoals Community College,"2080 College Road Phil Campbell, Alabama 35881 ",Associate,Alabama,Accredited
Northwest-Shoals Community College,"2080 College Road Phil Campbell, Alabama 35881 United States",Practical,Alabama,Accredited
Shelton State Community College,"9500 Old Greensboro Road Tuscaloosa, Alabama 35405-9500 United States",Practical,Alabama,Accredited
Shelton State Community College,"9500 Old Greensboro Road Tuscaloosa, Alabama 35405-9500 ",Associate,Alabama,Accredited
Snead State Community College,"102 Elder Street, PO Box 734 Boaz, Alabama 35957 ",Associate,Alabama,Accredited
Southern Union State Community College,"301 Lake Condy Road Opelika, Alabama 36801 ",Associate,Alabama,Accredited
Southern Union State Community College,"301 Lake Condy Road Opelika, Alabama 36801 ",Practical,Alabama,Accredited
Troy University,"400 Pell Avenue Troy, Alabama 36082 ",Baccalaureate,Alabama,Accredited
Troy University,"400 Pell Avenue Troy, Alabama 36082 ",Master’s/Post-Master’s Certificate,Alabama,Accredited
Troy University,"400 Pell Avenue Troy, Alabama 36082 ",Associate,Alabama,Accredited
Troy University,"400 Pell Avenue Troy, Alabama 36082 United States",Clinical Doctorate,Alabama,Accredited
Tuskegee University,"1200 West Montgomery Road Tuskegee, Alabama 36088 United States",Baccalaureate,Alabama,Accredited
"University of West Alabama, The","Station 28 Livingston, Alabama 35470 United States",Associate,Alabama,Accredited
"University of West Alabama, The","Station 18 Livingston, Alabama 35470 United States",Baccalaureate,Alabama,Accredited
Wallace State Community College,"801 Main Street NW Hanceville, Alabama 35077-2000 United States",Associate,Alabama,Accredited
Wallace State Community College,"801 Main Street NW, PO Box 2000 Hanceville, Alabama 35077-2000 United States",Practical,Alabama,Accredited
Alaska Pacific University,"4101 University Drive Anchorage, Alaska 99508 ",Baccalaureate,Alaska,Accredited
Alaska Pacific University,"4101 University Drive Anchorage, Alaska 99508 United States",Associate,Alaska,Accredited
Alaska Pacific University,"4101 University Drive Anchorage, Alaska 99508 ",Practical,Alaska,Accredited
Prospect Education – Charter College,"2221 East Northern Lights Boulevard, #120 Anchorage, Alaska 99508 ",Associate,Alaska,Accredited
University of Alaska Anchorage,"3211 Providence Drive Anchorage, Alaska 99508-8030 United States",Master’s/Post-Master’s Certificate,Alaska,Accredited
University of Alaska Anchorage,"3211 Providence Drive Anchorage, Alaska 99508-8030 United States",Baccalaureate,Alaska,Accredited
University of Alaska Anchorage,"3211 Providence Drive Anchorage, Alaska 99508-8030 United States",Associate,Alaska,Accredited
Arizona Western College,"PO Box 929 Yuma, Arizona 85366 United States",Associate,Arizona,Accredited
Carrington College – Mesa,"1001 West Southern Avenue, Suite 130 Mesa, Arizona 85210 United States",Associate,Arizona,Accredited
Carrington College – Phoenix,"2149 West Dunlap Avenue Phoenix, Arizona 85021 United States",Associate,Arizona,Accredited
Carrington College – Tucson,"201 North Bonita Avenue Tucson, Arizona 85745 United States",Associate,Arizona,Accredited
Central Arizona College,"8470 North Overfield Road, West Building Room 114 Coolidge, Arizona 85248 United States",Associate,Arizona,Accredited
Chandler-Gilbert Community College,"7360 East Tahoe Avenue Mesa, Arizona 85212-0908 United States",Associate,Arizona,Accredited
Cochise College,"2600 East Wilcox Drive Sierra Vista, Arizona 85635 ",Associate,Arizona,Accredited
Eastern Arizona College,"615 North Stadium Avenue Thatcher, Arizona 85552 ",Associate,Arizona,Accredited
Estrella Mountain Community College,"3000 North Dysart Road, #OCT 142 Avondale, Arizona 85392 United States",Associate,Arizona,Accredited
Gateway Community College,"108 North 40th Street Phoenix, Arizona 85034 ",Associate,Arizona,Accredited
Glendale Community College,"6000 West Olive Avenue Glendale, Arizona 85302 ",Associate,Arizona,Accredited
Mesa Community College,"1833 West Southern Avenue Mesa, Arizona 85202 ",Associate,Arizona,Accredited
Mohave Community College,"1801 Detroit Avenue Kingman, Arizona 86401 ",Associate,Arizona,Accredited
Northland Pioneer College,"PO Box 610 Holbrook, Arizona 86025 United States",Associate,Arizona,Accredited
Paradise Valley Community College – Maricopa Community Colleges,"18401 North 32nd Street Phoenix, Arizona 85032 United States",Associate,Arizona,Accredited
Phoenix College,"3700 North 3rd Avenue Phoenix, Arizona 85013 ",Associate,Arizona,Accredited
Pima County Community College District,"2202 West Anklam Road Tucson, Arizona 85709-0150 ",Associate,Arizona,Accredited
Scottsdale Community College,"9000 East Chaparral Rd Scottsdale, Arizona 85256-2626 United States",Associate,Arizona,Accredited
Yavapai College,"1100 East Sheldon Street Prescott, Arizona 86301 United States",Associate,Arizona,Accredited
Arkansas Northeastern College,"2501 South Division, PO Box 1109 Blytheville, Arkansas 72315 ",Associate,Arkansas,Accredited
Arkansas State University,"PO Box 910 State University, Arkansas 72467-0910 ",Associate,Arkansas,Accredited
Arkansas State University,"PO Box 910 State University, Arkansas 72467-0910 ",Baccalaureate,Arkansas,Accredited
Arkansas State University,"PO Box 910 State University, Arkansas 72467-0910 United States",Master’s/Post-Master’s Certificate,Arkansas,Accredited
Arkansas State University,"PO Box 910 State University, Arkansas 72467-0910 ",Clinical Doctorate,Arkansas,Accredited
Arkansas Tech University,"402 West “O” Street Russellville, Arkansas 72801-2222 ",Baccalaureate,Arkansas,Accredited
Arkansas Tech University,"402 West “O” Street, Dean Hall 224 Russellville, Arkansas 72801-2222 ",Master’s,Arkansas,Accredited
Arkansas Tech University – Ozark,"1700 Helburg Lane Ozark, Arkansas 72949 ",Associate,Arkansas,Accredited
Baptist Health College Little Rock,"11900 Colonel Glenn Road, Suite 1000 Little Rock, Arkansas 72210-2820 United States",Practical,Arkansas,Accredited
Baptist Health College Little Rock,"11900 Colonel Glenn Road, Suite 1000 Little Rock, Arkansas 72210-2820 United States",Associate,Arkansas,Accredited
National Park College,"101 College Drive Hot Springs, Arkansas 71913-9174 ",Associate,Arkansas,Accredited
North Arkansas College,"1515 Pioneer Drive Harrison, Arkansas 72601 ",Associate,Arkansas,Accredited
Northwest Arkansas Community College,"One College Drive Bentonville, Arkansas 72712 United States",Associate,Arkansas,Accredited
Ouachita Baptist University,"410 Ouachita Street Arkadelphia, Arkansas 71988 ",Baccalaureate,Arkansas,Accredited
